lapitinib,PLX4720,PI103,cell_line,BRAF_V600E,NRAS_Q61K,viability
2.302585092994046,-2.3025850929940455,0,PIG3V,1,0,0.9999770138976775
-2.3025850929940455,0,0,PIG3V,0,1,0.9995089969351688
0,-2.3025850929940455,0,PIG3V,1,1,0.9992282413689036
4.605170185988092,4.605170185988092,4.605170185988092,SkMel,1,1,0.9999992008678638
2.302585092994046,0,0,PIG3V,1,1,0.9961225691236449
0,0,-2.3025850929940455,PIG3V,0,0,0.9994767937743126
0,3.2188758248682006,4.605170185988092,SkMel,0,1,0.9996258522350334
-2.3025850929940455,2.302585092994046,-2.3025850929940455,SkMel,0,1,0.6996175245039081
0,0,4.605170185988092,PIG3V,1,0,0.16940097146216332
3.2188758248682006,4.605170185988092,-2.3025850929940455,PIG3V,1,1,0.03710624292222472
2.302585092994046,4.605170185988092,0,SkMel,0,0,0.9724498762944611
0,0,2.302585092994046,SkMel,1,1,0.9697758912956972
4.605170185988092,4.605170185988092,0,PIG3V,0,1,0.8881847928306478
0,-2.3025850929940455,0,PIG3V,1,0,0.9998735408100146
0,4.605170185988092,0,SkMel,0,1,0.8436586267614342
4.605170185988092,0,4.605170185988092,SkMel,1,0,0.8402685205017363
4.605170185988092,4.605170185988092,2.302585092994046,SkMel,0,1,0.9999960638503984
2.302585092994046,0,3.2188758248682006,SkMel,0,0,0.9997821396081927
2.302585092994046,0,0,SkMel,1,1,0.9999980272123626
3.2188758248682006,0,4.605170185988092,SkMel,1,0,0.9979483284175497
2.302585092994046,-2.3025850929940455,4.605170185988092,PIG3V,1,0,0.001342990909660784
3.2188758248682006,4.605170185988092,3.2188758248682006,PIG3V,0,1,0.9996511576816534
3.2188758248682006,0,4.605170185988092,PIG3V,0,1,0.4071040325733745
2.302585092994046,2.302585092994046,2.302585092994046,PIG3V,0,0,0.9757264408196333
0,0,2.302585092994046,SkMel,0,1,0.9804771159909298
2.302585092994046,-2.3025850929940455,4.605170185988092,SkMel,1,1,0.07793154769963327
3.2188758248682006,3.2188758248682006,2.302585092994046,PIG3V,0,1,0.9981225327791868
4.605170185988092,2.302585092994046,2.302585092994046,SkMel,1,1,0.9998789304914765
3.2188758248682006,3.2188758248682006,0,PIG3V,1,0,0.9556176294327637
0,3.2188758248682006,0,SkMel,1,1,0.9855014220895532
0,2.302585092994046,-2.3025850929940455,SkMel,1,0,0.991381023961156
0,4.605170185988092,4.605170185988092,PIG3V,1,0,0.999952317103081
-2.3025850929940455,-2.3025850929940455,0,PIG3V,0,0,0.9999309603749551
4.605170185988092,0,4.605170185988092,SkMel,1,0,0.9865318640210087
4.605170185988092,0,3.2188758248682006,PIG3V,1,1,0.5357681652557945
0,0,0,SkMel,0,1,0.9780263307659514
4.605170185988092,0,0,SkMel,1,0,0.9999668548543265
0,2.302585092994046,0,PIG3V,0,1,0.9549874101298945
0,0,4.605170185988092,PIG3V,0,0,0.969547577111146
-2.3025850929940455,0,0,SkMel,1,0,0.7627810854627904
2.302585092994046,2.302585092994046,0,PIG3V,1,1,0.9540761139085052
2.302585092994046,0,0,SkMel,0,1,0.9998937881168567
3.2188758248682006,0,3.2188758248682006,PIG3V,1,1,0.4867929177491162
4.605170185988092,0,-2.3025850929940455,SkMel,1,0,0.9999998469178503
