A,B,C,D,E,inhibition,run,half,pb
-1,-1,-1,-1,-1,61,1,0,1
1,-1,-1,-1,-1,53,2,1,0
-1,1,-1,-1,-1,63,3,1,1
1,1,-1,-1,-1,61,4,0,0
-1,-1,1,-1,-1,53,5,1,0
1,-1,1,-1,-1,56,6,0,1
-1,1,1,-1,-1,54,7,0,0
1,1,1,-1,-1,61,8,1,0
-1,-1,-1,1,-1,69,9,1,0
1,-1,-1,1,-1,61,10,0,0
-1,1,-1,1,-1,94,11,0,0
1,1,-1,1,-1,93,12,1,1
-1,-1,1,1,-1,66,13,0,0
1,-1,1,1,-1,60,14,1,1
-1,1,1,1,-1,95,15,1,1
1,1,1,1,-1,98,16,0,0
-1,-1,-1,-1,1,56,17,1,0
1,-1,-1,-1,1,63,18,0,1
-1,1,-1,-1,1,70,19,0,0
1,1,-1,-1,1,65,20,1,0
-1,-1,1,-1,1,59,21,0,0
1,-1,1,-1,1,55,22,1,0
-1,1,1,-1,1,67,23,1,1
1,1,1,-1,1,65,24,0,1
-1,-1,-1,1,1,44,25,0,1
1,-1,-1,1,1,45,26,1,0
-1,1,-1,1,1,78,27,1,0
1,1,-1,1,1,77,28,0,1
-1,-1,1,1,1,49,29,1,1
1,-1,1,1,1,42,30,0,0
-1,1,1,1,1,81,31,0,0
1,1,1,1,1,82,32,1,0
